0,1.22
10,1.11
20,0.01
30,-0.07
40,0.34
50,0.65
60,0.18
70,0.10
80,-0.46
90,-0.47
100,-0.54
110,-0.66
120,-0.13
130,-0.23
140,0.05
150,0.10
160,-0.24
170,-0.23
180,-0.35
190,-0.39
200,-0.47
210,-0.54
220,-0.25
230,-0.24
240,-0.34
250,-0.15
260,-0.16
270,-0.65
280,-0.60
290,-0.45
300,-0.35
310,-0.52
320,-0.79
330,-0.82
340,-0.53
350,-0.54
360,-0.82
370,-0.41
380,-0.36
390,-0.57
400,-0.60
410,-0.67
420,-0.67
430,-0.51
440,-0.40
450,-0.51
460,-0.08
470,-0.35
480,-0.50
490,-0.47
500,-0.48
510,-0.40
520,-0.20
530,-0.47
540,-0.15
550,-0.20
560,-0.26
570,-0.52
580,-0.35
590,-0.33
600,-0.49
610,-0.24
620,-0.35
630,0.09
640,0.08
650,-0.42
660,-0.43
670,-0.56
680,-0.73
690,-0.47
700,-0.08
710,0.08
720,-0.38
730,-0.63
740,-0.31
750,-0.28
760,-0.13
770,-0.17
780,-0.21
790,-0.31
800,-0.34
810,-0.09
820,-0.16
830,0.05
840,0.04
850,0.37
860,0.09
870,-0.12
880,-0.06
890,0.20
900,0.07
910,0.31
920,-0.14
930,-0.12
940,-0.17
950,-0.41
960,-0.47
970,-0.38
980,-0.05
990,-0.20
1000,-0.23
1010,-0.39
1020,-0.31
1030,-0.22
1040,-0.29
1050,-0.42
1060,0.06
1070,-0.08
1080,-0.44
1090,-0.14
1100,-0.05
1110,-0.10
1120,-0.22
1130,-0.34
1140,-0.04
1150,0.08
1160,-0.20
1170,-0.15
1180,0.02
1190,0.17
1200,0.42
1210,-0.06
1220,0.23
1230,0.19
1240,-0.16
1250,-0.34
1260,-0.25
1270,0.27
1280,0.27
1290,-0.01
1300,-0.28
1310,-0.48
1320,-0.08
1330,0.11
1340,0.31
1350,0.04
1360,-0.24
1370,-0.42
1380,-0.13
1390,0.13
1400,0.40
1410,0.64
1420,0.30
1430,0.20
1440,-0.10
1450,-0.07
1460,-0.19
1470,-0.16
1480,-0.06
1490,0.25
1500,-0.01
1510,-0.37
1520,-0.31
1530,-0.24
1540,-0.06
1550,-0.12
1560,-0.23
1570,0.03
1580,-0.06
1590,-0.31
1600,0.21
1610,0.35
1620,-0.01
1630,-0.39
1640,-0.41
1650,-0.22
1660,-0.21
1670,-0.49
1680,-0.29
1690,-0.31
1700,0.08
1710,0.12
1720,0.47
1730,0.45
1740,0.14
1750,-0.28
1760,-0.39
1770,-0.43
1780,-0.28
1790,-0.02
1800,-0.14
1810,0.11
1820,0.21
1830,0.36
1840,0.32
1850,0.15
1860,0.20
1870,0.05
1880,0.04
1890,-0.03
1900,-0.18
1910,0.13
1920,0.08
1930,0.29
1940,0.09
1950,-0.07
1960,0.00
1970,0.14
1980,0.08
1990,-0.04
2000,-0.25
2010,-0.20
2020,-0.08
2030,-0.01
2040,0.01
2050,-0.03
2060,0.12
2070,0.11
2080,0.14
2090,0.16
2100,0.39
2110,-0.07
2120,-0.28
2130,-0.44
2140,-0.46
2150,-0.17
2160,0.06
2170,0.18
2180,-0.03
2190,0.10
2200,0.25
2210,0.15
2220,-0.05
2230,-0.15
2240,-0.13
2250,0.07
2260,0.31
2270,0.58
2280,0.43
2290,0.33
2300,0.25
2310,-0.16
2320,0.07
2330,0.12
